handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_5b210213-df44-49eb-afed-2656242bc85a,PRODUCT,"Anchovy / Nethili - (𝗚𝗿𝗼𝘀𝘀: 𝟴𝟱𝟬𝗴, 𝗡𝗲𝘁: 𝟱𝟬𝟬𝗴)",true,"<h2><span style=""font-weight: 700"">Fresh Anchovy (Nethili / </span>நெத்திலி<span style=""font-weight: 700"">)</span></h2><h3><span style=""font-weight: 700"">Product Overview</span></h3><ul><li><p><span style=""font-weight: 700"">Net Weight:</span>&nbsp;500g</p></li><li><p><span style=""font-weight: 700"">Gross Weight:</span>&nbsp;850g</p></li><li><p><span style=""font-weight: 700"">Protein: </span>17g – 19g</p></li><li><p><span style=""font-weight: 700"">Serving Size:</span>&nbsp;25-50 Pcs  Ideal for <span style=""font-weight: 700"">3 to 4 people</span>&nbsp;(as a side dish or appetizer).</p></li><li><p><span style=""font-weight: 700"">Preparation:</span>&nbsp;Sourced fresh from the Chennai coast, meticulously cleaned, and ready for the pan.</p></li><li><p><span style=""font-weight: 700"">Texture:</span>&nbsp;Soft and delicate, absorbing spices beautifully.</p></li></ul><p>Small in size but massive in flavor, our Anchovies are a coastal delicacy sourced daily. Known for their distinct, savory taste and tender texture, these silver-scaled delights are a staple in traditional South Indian kitchens, perfect for a crispy deep fry or a tangy, spicy gravy.</p><h3><span style=""font-weight: 700"">Nutritional Profile (Per 100g)</span></h3><p>Anchovies are widely regarded as a ""superfood"" due to their high concentration of essential minerals and healthy fats.</p><table><tr><td><p><span style=""font-weight: 700"">Nutrient</span></p></td><td><p><span style=""font-weight: 700"">Amount</span></p></td></tr><tr><td><p><span style=""font-weight: 700"">Calories</span></p></td><td><p>131 kcal</p></td></tr><tr><td><p><span style=""font-weight: 700"">Protein</span></p></td><td><p>17g - 19g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Total Fat</span></p></td><td><p>4.8g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Omega-3 Fatty Acids</span></p></td><td><p>Very High</p></td></tr><tr><td><p><span style=""font-weight: 700"">Calcium</span></p></td><td><p>15% of Daily Value</p></td></tr><tr><td><p><span style=""font-weight: 700"">Iron</span></p></td><td><p>18% of Daily Value</p></td></tr></table><h3><span style=""font-weight: 700"">Key Benefits</span></h3><ul><li><p><span style=""font-weight: 700"">Bone Health:</span>&nbsp;One of the best natural sources of Calcium and Phosphorus, essential for maintaining strong bones and teeth.</p></li><li><p><span style=""font-weight: 700"">Heart Support:</span>&nbsp;Rich in polyunsaturated fatty acids that help reduce inflammation and support a healthy heart.</p></li><li><p><span style=""font-weight: 700"">Low Mercury:</span>&nbsp;Because they are low on the food chain, anchovies have significantly lower mercury levels compared to larger fish.</p></li><li><p><span style=""font-weight: 700"">Skin &amp; Vision:</span>&nbsp;High in Vitamin A and Selenium, which promote healthy skin and improve eye health.</p></li></ul><blockquote><p><span style=""font-weight: 700"">Chef's Tip:</span>&nbsp;To get that perfect ""Nethili Fry,"" toss them in a mix of rice flour, cornflour, and local spices. The rice flour ensures a super-crunchy exterior while keeping the fish tender inside!</p></blockquote>",fishes;deep-fry-favorites;high-protien,fishes,,,,,,,,,,,,,,,,,,,Cutting style:,TEXT_CHOICES,Headless,Size,TEXT_CHOICES,Small;Medium,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_5b210213-df44-49eb-afed-2656242bc85a,VARIANT,,true,,,,,,,,375,699,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Headless,Size,TEXT_CHOICES,Small,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_5b210213-df44-49eb-afed-2656242bc85a,VARIANT,,true,,,,,,,,400,699,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Headless,Size,TEXT_CHOICES,Medium,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_5b210213-df44-49eb-afed-2656242bc85a,MEDIA,,,,,,ebf235_22f791a6388649e4b6325acc40221f41~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_5b210213-df44-49eb-afed-2656242bc85a,MEDIA,,,,,,ebf235_ec8bdca16ce8426c994fdc4621e817d6~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_5b210213-df44-49eb-afed-2656242bc85a,MEDIA,,,,,,ebf235_b0a5118deb7d4859bf26ae7473e231ef~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,PRODUCT,"Kanangeluthi /Mackerel / Ayala - (𝗚𝗿𝗼𝘀𝘀: 𝟳𝟱𝟬𝗴, 𝗡𝗲𝘁: 𝟱𝟬𝟬𝗴)",true,"<h2><span style=""font-weight: 700"">Fresh Indian Mackerel </span>(Kanangeluthi / Ayala /<span style=""font-weight: 700""> </span>அயிலை<span style=""font-weight: 700""> </span>/கானாங்கெளுத்தி)</h2><h3><span style=""font-weight: 700"">Product Overview</span></h3><ul><li><p><span style=""font-weight: 700"">Net Weight:</span>&nbsp;500g</p></li><li><p><span style=""font-weight: 700"">Gross Weight :</span>&nbsp;750g</p></li><li><p><span style=""font-weight: 700"">Protein: </span>18g – 19g</p></li><li><p><span style=""font-weight: 700"">Serving Size:</span>&nbsp;Curry Cut - (10-16 Pieces) Whole - (5-8 pcs)  .</p></li><li><p><span style=""font-weight: 700"">Preparation:</span>&nbsp;Freshly caught,&nbsp;cleaned,&nbsp;and descaled.&nbsp;Usually served as whole fish with deep lateral ""fry cuts"" to allow spices to penetrate the firm flesh.</p></li><li><p><span style=""font-weight: 700"">Flavor Profile:</span>&nbsp;Bold and savory with a firm,&nbsp;meaty texture.</p></li></ul><p>A quintessential favorite across coastal India,&nbsp;our Indian Mackerel is sourced fresh from the morning catch.&nbsp;Known for its distinctively rich,&nbsp;oily texture and deep flavor,&nbsp;it is the perfect candidate for a sharp,&nbsp;spicy ""Bangda Fry"" or a traditional coastal curry.</p><h3><span style=""font-weight: 700"">Nutritional Profile (Per 100g)</span></h3><p>Indian Mackerel is one of the best sources of heart-healthy fats and essential vitamins.</p><table><tr><td><p><span style=""font-weight: 700"">Nutrient</span></p></td><td><p><span style=""font-weight: 700"">Amount</span></p></td></tr><tr><td><p><span style=""font-weight: 700"">Calories</span></p></td><td><p>190 - 205 kcal</p></td></tr><tr><td><p><span style=""font-weight: 700"">Protein</span></p></td><td><p>18g - 19g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Total Fat</span></p></td><td><p>12g (Healthy Fats)</p></td></tr><tr><td><p><span style=""font-weight: 700"">Omega-3 Fatty Acids</span></p></td><td><p>Very High</p></td></tr><tr><td><p><span style=""font-weight: 700"">Vitamin D</span></p></td><td><p>80% of Daily Value</p></td></tr><tr><td><p><span style=""font-weight: 700"">Vitamin B12</span></p></td><td><p>200% of Daily Value</p></td></tr></table><h3><span style=""font-weight: 700"">Key Benefits</span></h3><ul><li><p><span style=""font-weight: 700"">Omega-3 Rich:</span>&nbsp;Loaded with EPA and DHA,&nbsp;which are crucial for heart health and reducing inflammation.</p></li><li><p><span style=""font-weight: 700"">Bone &amp; Immune Support:</span>&nbsp;One of the few natural food sources rich in Vitamin D,&nbsp;essential for calcium absorption and a strong immune system.</p></li><li><p><span style=""font-weight: 700"">Metabolism Boost:</span>&nbsp;High Vitamin B12 content helps in energy production and maintains a healthy nervous system.</p></li><li><p><span style=""font-weight: 700"">Lean Protein:</span>&nbsp;Provides high-quality protein necessary for muscle maintenance and repair.</p></li></ul><blockquote><p><span style=""font-weight: 700"">Chef's Tip:</span>&nbsp;Indian Mackerel pairs beautifully with souring agents. Try marinating with a thick paste of <span style=""font-weight: 700"">Tamarind or Kokum</span>, red chili, and a hint of peppercorns for an authentic coastal experience!</p></blockquote>",deep-fry-favorites;high-protien;fishes,fishes,,,,,,,,,,,,,,,,,,,Cutting style:,TEXT_CHOICES,Curry Cut With Head;Curry Cut Without Head;Whole Fish,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,VARIANT,,true,,,,,,,,375,579,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Curry Cut With Head,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,VARIANT,,true,,,,,,,,375,579,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Curry Cut Without Head,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,VARIANT,,true,,,,,,,,325,499,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Whole Fish,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
